// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 2,98s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 13,12s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794
// command took 2,66s and exited with 0
// ***** Done, took 00:00:19 (19.09 sec)   *****
// Found 3 benchmarks:
//   StructBoxing.RunOnStruct: DefaultJob
//   StructBoxing.RunOnStructWithOverride: DefaultJob
//   StructBoxing.RunOnClass: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Alto desempenho)// **************************
// Benchmark: StructBoxing.RunOnStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "947ac27f-b8bf-49f8-bbe8-297d236bf794.dll" --benchmarkName "PerfomanceTests.StructBoxing.RunOnStruct" --job "Default" --benchmarkId 0 in C:\Users\Pedro\source\repos\PerfomanceTests\PerfomanceTests\bin\Release\netcoreapp2.1\947ac27f-b8bf-49f8-bbe8-297d236bf794\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

Mean = 0.0969 ns, StdErr = 0.0003 ns (0.36%); N = 15, StdDev = 0.0013 ns
Min = 0.0949 ns, Q1 = 0.0955 ns, Median = 0.0969 ns, Q3 = 0.0981 ns, Max = 0.0995 ns
IQR = 0.0026 ns, LowerFence = 0.0916 ns, UpperFence = 0.1020 ns
ConfidenceInterval = [0.0955 ns; 0.0984 ns] (CI 99.9%), Margin = 0.0014 ns (1.48% of Mean)
Skewness = 0.14, Kurtosis = 1.74, MValue = 2
-------------------- Histogram --------------------
[0.094 ns ; 0.097 ns) | @@@@@@@@@
[0.097 ns ; 0.100 ns) | @@@@@@
---------------------------------------------------

StructBoxing.RunOnStructWithOverride: DefaultJob
Runtime = .NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 0.2076 ns, StdErr = 0.0008 ns (0.39%); N = 15, StdDev = 0.0032 ns
Min = 0.2033 ns, Q1 = 0.2047 ns, Median = 0.2070 ns, Q3 = 0.2088 ns, Max = 0.2138 ns
IQR = 0.0041 ns, LowerFence = 0.1986 ns, UpperFence = 0.2149 ns
ConfidenceInterval = [0.2042 ns; 0.2110 ns] (CI 99.9%), Margin = 0.0034 ns (1.63% of Mean)
Skewness = 0.54, Kurtosis = 2.07, MValue = 2
-------------------- Histogram --------------------
[0.203 ns ; 0.211 ns) | @@@@@@@@@@@@
[0.211 ns ; 0.215 ns) | @@@
---------------------------------------------------

StructBoxing.RunOnClass: DefaultJob
Runtime = .NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT; GC = Concurrent Workstation
Mean = 0.0970 ns, StdErr = 0.0004 ns (0.38%); N = 13, StdDev = 0.0013 ns
Min = 0.0947 ns, Q1 = 0.0957 ns, Median = 0.0973 ns, Q3 = 0.0981 ns, Max = 0.0990 ns
IQR = 0.0024 ns, LowerFence = 0.0921 ns, UpperFence = 0.1016 ns
ConfidenceInterval = [0.0954 ns; 0.0986 ns] (CI 99.9%), Margin = 0.0016 ns (1.66% of Mean)
Skewness = -0.33, Kurtosis = 1.7, MValue = 2
-------------------- Histogram --------------------
[0.094 ns ; 0.097 ns) | @@@@
[0.097 ns ; 0.100 ns) | @@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.1006 (1803/April2018Update/Redstone4)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=3.0.100-preview3-010431
  [Host]     : .NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT
  DefaultJob : .NET Core 2.1.13 (CoreCLR 4.6.28008.01, CoreFX 4.6.28008.01), 64bit RyuJIT


|                  Method |      Mean |     Error |    StdDev | Ratio | RatioSD |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|------------------------ |----------:|----------:|----------:|------:|--------:|-------:|------:|------:|----------:|
|             RunOnStruct | 0.0969 ns | 0.0014 ns | 0.0013 ns |  1.00 |    0.00 |      - |     - |     - |         - |
| RunOnStructWithOverride | 0.2076 ns | 0.0034 ns | 0.0032 ns |  2.14 |    0.03 | 0.0001 |     - |     - |         - |
|              RunOnClass | 0.0970 ns | 0.0016 ns | 0.0013 ns |  1.00 |    0.02 |      - |     - |     - |         - |

// * Hints *
Outliers
  StructBoxing.RunOnClass: Default -> 2 outliers were removed (0.14 ns, 0.15 ns)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Ratio     : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD   : Standard deviation of the ratio distribution ([Current]/[Baseline])
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:03 (63.96 sec), executed benchmarks: 3

Global total time: 00:01:23 (83.06 sec), executed benchmarks: 3
// * Artifacts cleanup *
